Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
78,Exit Long,Open,,,,,,,,,,,
78,Entry Long,Entry,2024-01-10 00:30,2383.38,,,,,,,,,
77,Exit Long,Exit,2024-01-09 16:30,2249.85,0.0879,-2.18,-1.09,17.97,-0.21,7.55,3.78,4.51,2.26
77,Entry Long,Entry,2024-01-08 15:45,2272.88,0.0879,-2.18,-1.09,17.97,-0.21,7.55,3.78,4.51,2.26
76,Exit Long,Stoploss,2024-01-03 12:15,2184.80,0.0866,-10.87,-5.44,20.15,-1.05,10.83,5.41,20.98,10.49
76,Entry Long,Entry,2024-01-01 13:30,2308.55,0.0866,-10.87,-5.44,20.15,-1.05,10.83,5.41,20.98,10.49
75,Exit Long,Exit,2024-01-01 13:00,2301.47,0.0866,-0.75,-0.38,31.03,-0.07,0,0,0.72,0.36
75,Entry Long,Entry,2024-01-01 12:45,2308.30,0.0866,-0.75,-0.38,31.03,-0.07,0,0,0.72,0.36
74,Exit Long,Exit,2023-12-31 13:00,2304.80,0.0862,-1.42,-0.71,31.78,-0.14,0.38,0.19,2.05,1.03
74,Entry Long,Entry,2023-12-31 12:30,2319.39,0.0862,-1.42,-0.71,31.78,-0.14,0.38,0.19,2.05,1.03
73,Exit Long,Exit,2023-12-29 21:15,2312.19,0.087,1.10,0.55,33.19,0.11,13.65,6.83,1.07,0.53
73,Entry Long,Entry,2023-12-27 13:30,2297.69,0.087,1.10,0.55,33.19,0.11,13.65,6.83,1.07,0.53
72,Exit Long,Exit,2023-12-25 20:15,2266.43,0.0876,-1.46,-0.73,32.09,-0.14,2.26,1.13,1.95,0.97
72,Entry Long,Entry,2023-12-25 04:30,2281.30,0.0876,-1.46,-0.73,32.09,-0.14,2.26,1.13,1.95,0.97
71,Exit Long,Exit,2023-12-25 00:45,2256.47,0.0899,2.89,1.44,33.56,0.28,11.01,5.51,2.11,1.05
71,Entry Long,Entry,2023-12-21 10:00,2222.55,0.0899,2.89,1.44,33.56,0.28,11.01,5.51,2.11,1.05
70,Exit Long,Exit,2023-12-20 19:45,2203.88,0.0899,-1.87,-0.94,30.67,-0.18,4.11,2.06,2.75,1.38
70,Entry Long,Entry,2023-12-20 09:30,2222.96,0.0899,-1.87,-0.94,30.67,-0.18,4.11,2.06,2.75,1.38
69,Exit Long,Exit,2023-12-20 08:15,2209.19,0.0901,-0.93,-0.47,32.54,-0.09,0.09,0.04,0.95,0.47
69,Entry Long,Entry,2023-12-20 08:00,2217.75,0.0901,-0.93,-0.47,32.54,-0.09,0.09,0.04,0.95,0.47
68,Exit Long,Stoploss,2023-12-19 15:00,2188.95,0.09,-2.98,-1.49,33.47,-0.29,3.19,1.6,3.47,1.73
68,Entry Long,Entry,2023-12-19 00:45,2220.28,0.09,-2.98,-1.49,33.47,-0.29,3.19,1.6,3.47,1.73
67,Exit Long,Stoploss,2023-12-17 23:15,2212.74,0.0891,-2.79,-1.39,36.45,-0.27,0.72,0.36,2.89,1.45
67,Entry Long,Entry,2023-12-17 20:15,2242.23,0.0891,-2.79,-1.39,36.45,-0.27,0.72,0.36,2.89,1.45
66,Exit Long,Exit,2023-12-16 17:45,2254.18,0.0886,-0.36,-0.18,39.24,-0.03,0.67,0.34,0.90,0.45
66,Entry Long,Entry,2023-12-16 16:30,2256.48,0.0886,-0.36,-0.18,39.24,-0.03,0.67,0.34,0.90,0.45
65,Exit Long,Exit,2023-12-16 14:15,2248.49,0.0886,-0.91,-0.45,39.60,-0.09,0.26,0.13,1.58,0.79
65,Entry Long,Entry,2023-12-16 12:45,2256.91,0.0886,-0.91,-0.45,39.60,-0.09,0.26,0.13,1.58,0.79
64,Exit Long,Stoploss,2023-12-15 15:45,2230.40,0.0877,-4.34,-2.17,40.51,-0.42,4.76,2.38,5.88,2.94
64,Entry Long,Entry,2023-12-13 22:15,2278.14,0.0877,-4.34,-2.17,40.51,-0.42,4.76,2.38,5.88,2.94
